fake_id,187_total,501_total,502_total,503_total,505_total,506_total,leader,leader_total,margin_of_victory
2922-2926,65,290,451,387,82,37,502,451,64
3541-3554,95,1094,769,1311,202,47,503,1311,217
5836-5845,88,338,954,963,124,42,503,963,9
4093-4098,49,322,511,589,98,40,503,589,78
4754-4759,73,350,488,468,114,43,502,488,20
1369-1376,70,565,493,638,161,60,503,638,73
5628-5632,44,255,441,453,66,20,503,453,12
3878-3881,30,263,311,313,65,25,503,313,2
2374-2386,206,704,1105,886,218,118,502,1105,219
394-405,110,785,671,805,179,60,503,805,20
2749-2755,87,405,505,506,126,41,503,506,1
1338-1351,141,842,1057,1209,230,104,503,1209,152
1746-1753,57,612,333,680,128,25,503,680,68
5788-5803,124,537,1429,1485,170,74,503,1485,56
4914-4919,69,278,601,520,68,30,502,601,81
5772-5787,110,537,1481,1460,156,85,502,1481,21
4271-4281,136,633,922,904,153,67,502,922,18
789-801,62,257,1126,1645,61,31,503,1645,519
5427-5430,40,196,391,356,51,18,502,391,35
3046-3052,72,380,514,515,105,57,503,515,1
1114-1129,151,831,1081,1048,239,88,502,1081,33
5207-5212,57,320,491,543,102,42,503,543,52
3757-3762,48,516,310,506,76,21,501,516,10
2056-2062,71,424,574,541,133,54,502,574,33
5719-5726,73,318,736,747,125,43,503,747,11
6654-6667,156,679,1244,1059,202,85,502,1244,185
292-295,42,232,222,307,43,17,503,307,75
2150-2154,46,318,361,388,76,38,503,388,27
5098-5101,27,250,367,348,62,19,502,367,19
6323-6341,109,501,1837,2159,167,60,503,2159,322
2911-2921,152,612,978,844,178,96,502,978,134
2202-2213,140,658,978,942,206,94,502,978,36
5907-5911,45,208,421,453,86,31,503,453,32
3833-3849,173,1209,1217,1410,241,84,503,1410,193
5831-5835,35,187,500,483,67,21,502,500,17
5846-5853,65,282,782,756,71,45,502,782,26
5415-5420,57,299,508,578,70,36,503,578,70
2396-2401,83,330,536,417,89,45,502,536,119
4447-4453,77,438,569,551,92,52,502,569,18
7005-7010,95,299,481,451,118,43,502,481,30
6858-6864,68,438,591,476,112,65,502,591,115
2239-2255,175,952,1375,1201,278,131,502,1375,174
6004-6019,69,313,1475,1956,105,69,503,1956,481
4236-4251,157,859,1272,1487,235,76,503,1487,215
5200-5206,90,372,594,619,106,36,503,619,25
3748-3756,70,772,460,730,124,32,501,772,42
1966-1971,53,394,385,537,116,37,503,537,143
3021-3041,188,1050,1635,1580,295,127,502,1635,55
216-227,88,430,760,1086,101,33,503,1086,326
1034-1041,50,383,613,582,73,46,502,613,31
4122-4129,84,479,645,722,119,35,503,722,77
6464-6501,179,1043,3535,4086,336,161,503,4086,551
6507-6522,102,530,1569,1601,166,62,503,1601,32
95-115,55,358,1481,2787,98,30,503,2787,1306
4592-4597,70,373,483,450,95,30,502,483,33
2491-2500,101,443,1036,911,120,70,502,1036,125
4845-4856,143,561,1210,1014,177,67,502,1210,196
4145-4151,94,382,538,626,99,37,503,626,88
529-532,22,302,207,300,74,28,501,302,2
5311-5314,36,158,395,389,62,23,502,395,6
6091-6096,36,200,615,594,68,23,502,615,21
3555-3572,107,1386,847,1603,224,60,503,1603,217
6698-6706,89,422,789,701,144,47,502,789,88
7023-7025,46,138,220,183,38,32,502,220,37
1163-1176,97,799,976,1042,226,88,503,1042,66
1085-1097,102,689,813,902,189,73,503,902,89
4034-4044,101,660,841,1049,158,48,503,1049,208
1856-1862,52,550,349,675,92,32,503,675,125
3584-3593,76,868,509,951,137,31,503,951,83
4636-4644,115,554,697,745,151,62,503,745,48
63-67,19,104,391,600,15,12,503,600,209
1055-1061,43,337,493,503,105,42,503,503,10
4176-4183,87,434,720,646,104,43,502,720,74
1763-1768,32,508,241,539,96,23,503,539,31
4130-4137,84,465,687,718,103,48,503,718,31
4379-4382,56,247,369,312,58,19,502,369,57
4543-4545,46,188,254,205,69,23,502,254,49
2785-2799,216,851,1373,1087,238,125,502,1373,286
6707-6714,60,347,733,622,126,51,502,733,111
4608-4616,82,469,615,589,124,52,502,615,26
4811-4815,57,278,438,399,76,38,502,438,39
7140-7155,184,1117,1014,1171,295,101,503,1171,54
5658-5666,70,333,888,827,133,48,502,888,61
6973-6980,123,450,664,586,116,80,502,664,78
5083-5090,100,363,753,685,123,37,502,753,68
1404-1414,103,684,787,868,204,52,503,868,81
168-180,66,400,910,1195,108,27,503,1195,285
4298-4307,106,573,897,820,163,71,502,897,77
5451-5462,128,531,1062,1054,172,85,502,1062,8
7269-7278,101,583,866,764,157,61,502,866,102
4470-4480,140,574,910,897,174,77,502,910,13
4776-4785,144,528,876,746,172,57,502,876,130
6992-7004,221,693,1014,997,203,108,502,1014,17
879-895,145,673,1535,1358,207,90,502,1535,177
4430-4435,64,379,478,472,98,40,502,478,6
1707-1716,83,516,695,1053,138,38,503,1053,358
5615-5620,38,283,575,558,96,30,502,575,17
382-393,93,656,742,960,127,45,503,960,218
2961-2966,61,337,478,490,92,43,503,490,12
1972-1985,143,883,999,1176,269,92,503,1176,177
3528-3540,98,960,729,1198,211,47,503,1198,238
6818-6830,147,665,1085,869,191,98,502,1085,216
1384-1399,149,1106,1065,1188,289,103,503,1188,82
5636-5657,202,855,2088,1997,245,89,502,2088,91
1952-1958,54,438,420,666,119,36,503,666,228
3812-3825,149,827,1067,1091,225,129,503,1091,24
6139-6145,92,318,610,471,88,54,502,610,139
2121-2130,98,542,919,770,160,76,502,919,149
6909-6922,213,706,1137,990,232,105,502,1137,147
1584-1588,16,634,133,276,74,17,501,634,358
5230-5236,65,409,551,639,109,32,503,639,88
2701-2708,83,409,747,638,100,60,502,747,109
7235-7241,90,411,585,599,114,31,503,599,14
1925-1936,107,803,827,997,184,49,503,997,170
7313-7325,162,636,1069,985,194,83,502,1069,84
6199-6203,29,187,491,513,46,21,503,513,22
7180-7191,122,742,884,838,216,93,502,884,46
5421-5426,66,301,525,551,93,33,503,551,26
4189-4198,129,534,942,925,126,40,502,942,17
5091-5097,79,310,640,647,95,21,503,647,7
6115-6120,43,160,494,692,55,34,503,692,198
5568-5575,84,439,614,734,122,34,503,734,120
2756-2760,74,287,424,327,75,49,502,424,97
5633-5635,20,106,305,275,29,8,502,305,30
933-944,109,472,1166,990,171,56,502,1166,176
2160-2176,172,897,1338,1280,246,115,502,1338,58
7228-7234,85,387,577,567,104,42,502,577,10
1214-1224,109,662,802,820,166,69,503,820,18
3798-3804,67,431,526,573,115,59,503,573,47
2772-2784,178,760,1183,854,237,108,502,1183,329
5255-5258,42,222,305,386,59,18,503,386,81
2594-2608,204,785,1384,1108,225,129,502,1384,276
3206-3218,129,551,1224,1151,140,86,502,1224,73
6947-6954,103,486,578,608,123,61,503,608,30
2630-2633,58,196,345,315,78,30,502,345,30
6502-6506,30,109,465,440,32,23,502,465,25
6609-6621,108,527,1344,1054,152,70,502,1344,290
