mesa_hasta,votacion,mesa_desde,dne_distri,vot_parcodigo,total,id,dne_seccio,the_geom,cartodb_id,created_at,updated_at
142,D,137,1,8,0,157,1,,157,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
142,D,137,1,68,5,158,1,,158,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
142,D,137,1,187,16,159,1,,159,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
142,D,137,1,234,3,160,1,,160,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
142,D,137,1,262,5,161,1,,161,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
142,D,137,1,324,3,162,1,,162,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
142,D,137,1,325,8,163,1,,163,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
142,D,137,1,501,79,164,1,,164,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
142,D,137,1,502,571,165,1,,165,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
142,D,137,1,503,644,166,1,,166,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
142,D,137,1,504,15,167,1,,167,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
142,D,137,1,505,31,168,1,,168,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
142,D,137,1,506,9,169,1,,169,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
167,D,153,1,8,5,170,1,,170,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
167,D,153,1,68,24,171,1,,171,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
167,D,153,1,187,64,172,1,,172,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
167,D,153,1,234,21,173,1,,173,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
167,D,153,1,262,23,174,1,,174,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
167,D,153,1,324,13,175,1,,175,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
167,D,153,1,325,18,176,1,,176,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
167,D,153,1,501,347,177,1,,177,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
167,D,153,1,502,1473,178,1,,178,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
167,D,153,1,503,1308,179,1,,179,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
167,D,153,1,504,71,180,1,,180,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
167,D,153,1,505,70,181,1,,181,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
167,D,153,1,506,37,182,1,,182,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
152,D,143,1,8,6,183,1,,183,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
152,D,143,1,68,12,184,1,,184,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
152,D,143,1,187,34,185,1,,185,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
152,D,143,1,234,15,186,1,,186,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
152,D,143,1,262,22,187,1,,187,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
152,D,143,1,324,5,188,1,,188,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
152,D,143,1,325,16,189,1,,189,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
152,D,143,1,501,209,190,1,,190,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
152,D,143,1,502,1020,191,1,,191,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
152,D,143,1,503,908,192,1,,192,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
152,D,143,1,504,21,193,1,,193,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
152,D,143,1,505,57,194,1,,194,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
152,D,143,1,506,25,195,1,,195,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
193,D,188,1,8,1,196,1,,196,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
193,D,188,1,68,10,197,1,,197,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
193,D,188,1,187,31,198,1,,198,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
193,D,188,1,234,9,199,1,,199,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
193,D,188,1,262,14,200,1,,200,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
193,D,188,1,324,2,201,1,,201,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
193,D,188,1,325,3,202,1,,202,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
193,D,188,1,501,196,203,1,,203,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
193,D,188,1,502,521,204,1,,204,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
193,D,188,1,503,431,205,1,,205,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
193,D,188,1,504,46,206,1,,206,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
193,D,188,1,505,51,207,1,,207,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
193,D,188,1,506,14,208,1,,208,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
180,D,168,1,8,6,209,1,,209,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
180,D,168,1,68,20,210,1,,210,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
180,D,168,1,187,75,211,1,,211,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
180,D,168,1,234,9,212,1,,212,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
180,D,168,1,262,36,213,1,,213,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
180,D,168,1,324,12,214,1,,214,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
180,D,168,1,325,10,215,1,,215,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
180,D,168,1,501,366,216,1,,216,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
180,D,168,1,502,1051,217,1,,217,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
180,D,168,1,503,991,218,1,,218,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
